,Corrugation Amplitude,Wavelength,Reynolds Number,Nusselt Number
197,0.12,3.0,80.0,7.7645
198,0.12,3.0,90.0,8.0861
199,0.12,3.0,100.0,8.3872
200,0.12,3.0,110.0,8.6708
201,0.12,3.0,120.0,8.9394
202,0.12,3.0,130.0,9.1964
203,0.12,3.0,140.0,9.4425
204,0.12,3.0,150.0,9.6789
205,0.12,6.0,60.0,7.1172
206,0.12,6.0,70.0,7.5036
207,0.12,6.0,80.0,7.8563
208,0.12,6.0,90.0,8.1829
209,0.12,6.0,100.0,8.4894
210,0.12,6.0,110.0,8.7789
211,0.12,6.0,120.0,9.0538
212,0.12,6.0,130.0,9.3163
218,0.125,1.0,90.0,6.5824
219,0.125,1.0,100.0,6.8552
220,0.125,1.5,60.0,6.3889
221,0.125,1.5,70.0,6.6635
222,0.125,1.5,80.0,6.9035
223,0.125,1.5,90.0,7.1257
224,0.125,1.5,100.0,7.3403
228,0.125,2.0,90.0,7.8494
229,0.125,2.0,100.0,8.1242
230,0.125,2.0,110.0,8.3789
231,0.125,2.0,120.0,8.6183
232,0.125,2.0,130.0,8.8441
233,0.125,2.0,140.0,9.0574
234,0.125,2.0,150.0,9.2604
235,0.125,3.0,60.0,7.0281
236,0.125,3.0,70.0,7.4079999999999995
237,0.125,3.0,80.0,7.7551
238,0.125,3.0,90.0,8.0761
239,0.125,3.0,100.0,8.3767
240,0.125,3.0,110.0,8.6599
241,0.125,3.0,120.0,8.9284
242,0.125,3.0,130.0,9.1849
243,0.125,3.0,140.0,9.43
244,0.125,3.0,150.0,9.6655
245,0.125,6.0,60.0,7.1145
246,0.125,6.0,70.0,7.5001
247,0.125,6.0,80.0,7.8532
248,0.125,6.0,90.0,8.1803
249,0.125,6.0,100.0,8.4865
250,0.125,6.0,110.0,8.7758
251,0.125,6.0,120.0,9.0504
252,0.125,6.0,130.0,9.3128
253,0.125,6.0,140.0,9.5647
254,0.125,6.0,150.0,9.8074
255,0.13,1.0,60.0,5.6388
256,0.13,1.0,70.0,5.9589
257,0.13,1.0,80.0,6.2595
258,0.13,1.0,90.0,6.5452
259,0.13,1.0,100.0,6.819
260,0.13,1.5,60.0,6.3342
261,0.13,1.5,70.0,6.6012
262,0.13,1.5,80.0,6.8389999999999995
263,0.13,1.5,90.0,7.0639
264,0.13,1.5,100.0,7.2836
265,0.13,2.0,60.0,6.8468
266,0.13,2.0,70.0,7.2027
267,0.13,2.0,80.0,7.5242
268,0.13,2.0,90.0,7.8178
269,0.13,2.0,100.0,8.0891
270,0.13,2.0,110.0,8.3413
271,0.13,2.0,120.0,8.5772
272,0.13,2.0,130.0,8.7993
273,0.13,2.0,140.0,9.0096
274,0.13,2.0,150.0,9.2099
275,0.13,3.0,60.0,7.0189
276,0.13,3.0,70.0,7.3987
277,0.13,3.0,80.0,7.7449
278,0.13,3.0,90.0,8.0655
279,0.13,3.0,100.0,8.3654
280,0.13,3.0,110.0,8.6477
281,0.13,3.0,120.0,8.9158
282,0.13,3.0,130.0,9.171
283,0.13,3.0,140.0,9.4158
284,0.13,3.0,150.0,9.6508
285,0.13,6.0,60.0,7.1129999999999995
286,0.13,6.0,70.0,7.4991
287,0.13,6.0,80.0,7.8521
288,0.13,6.0,90.0,8.1791
289,0.13,6.0,100.0,8.4855
290,0.13,6.0,110.0,8.7746
291,0.13,6.0,120.0,9.0495
292,0.13,6.0,130.0,9.3126
293,0.13,6.0,140.0,9.5642
294,0.13,6.0,150.0,9.8063
295,0.135,1.0,60.0,5.5995
296,0.135,1.0,70.0,5.9021
297,0.135,1.0,80.0,6.221
298,0.135,1.0,90.0,6.5073
299,0.135,1.0,100.0,6.7825
300,0.135,1.5,60.0,6.2789
301,0.135,1.5,70.0,6.5403
302,0.135,1.5,80.0,6.7778
303,0.135,1.5,90.0,7.0057
304,0.135,1.5,100.0,7.2322
305,0.135,2.0,60.0,6.8225
306,0.135,2.0,70.0,7.1757
307,0.135,2.0,80.0,7.4943
308,0.135,2.0,90.0,7.7848
309,0.135,2.0,100.0,8.0529
310,0.135,2.0,110.0,8.3015
311,0.135,2.0,120.0,8.5333
312,0.135,2.0,130.0,8.7519
313,0.135,2.0,140.0,8.9583
314,0.135,2.0,150.0,9.1542
315,0.135,3.0,60.0,7.0091
316,0.135,3.0,70.0,7.388
317,0.135,3.0,80.0,7.7338
318,0.135,3.0,90.0,8.0544
319,0.135,3.0,100.0,8.3537
320,0.135,3.0,110.0,8.6359
321,0.135,3.0,120.0,8.9034
322,0.135,3.0,130.0,9.1586
323,0.135,3.0,140.0,9.4027
324,0.135,3.0,150.0,9.6381
325,0.135,6.0,60.0,7.1108
326,0.135,6.0,70.0,7.4967
327,0.135,6.0,80.0,7.8502
328,0.135,6.0,90.0,8.177999999999999
329,0.135,6.0,100.0,8.4849
330,0.135,6.0,110.0,8.7739
331,0.135,6.0,120.0,9.0495
