Corrugation Amplitude,Wavelength,Reynolds Number,Nusselt Number
0.125,3,100,8.3767
0.125,3,110,8.6599
0.125,3,120,8.9284
0.125,3,130,9.1849
0.125,3,140,9.43
0.125,3,150,9.6655
0.125,6,60,7.1145
0.125,6,70,7.5001
0.125,6,80,7.8532
0.125,6,90,8.1803
0.125,6,100,8.4865
0.125,6,110,8.7758
0.125,6,120,9.0504
0.125,6,130,9.3128
0.125,6,140,9.5647
0.125,6,150,9.8074
0.13,1,60,5.6388
0.13,1,70,5.9589
0.13,1,80,6.2595
0.13,1,90,6.5452
0.13,1,100,6.819
0.13,1.5,60,6.3342
0.13,1.5,70,6.6012
0.13,1.5,80,6.839
0.13,1.5,90,7.0639
0.13,1.5,100,7.2836
0.13,2,60,6.8468
0.13,2,70,7.2027
0.13,2,80,7.5242
0.13,2,90,7.8178
0.13,2,100,8.0891
0.13,2,110,8.3413
0.13,2,120,8.5772
0.13,2,130,8.7993
0.13,2,140,9.0096
0.13,2,150,9.2099
0.13,3,60,7.0189
0.13,3,70,7.3987
0.13,3,80,7.7449
0.13,3,90,8.0655
0.13,3,100,8.3654
0.13,3,110,8.6477
0.13,3,120,8.9158
0.13,3,130,9.171
0.13,3,140,9.4158
0.13,3,150,9.6508
0.13,6,60,7.113
0.13,6,70,7.4991
0.13,6,80,7.8521
0.13,6,90,8.1791
0.13,6,100,8.4855
0.13,6,110,8.7746
0.13,6,120,9.0495
0.13,6,130,9.3126
0.13,6,140,9.5642
0.13,6,150,9.8063
0.135,1,60,5.5995
0.135,1,70,5.9021
0.135,1,80,6.221
0.135,1,90,6.5073
0.135,1,100,6.7825
0.135,1.5,60,6.2789
0.135,1.5,70,6.5403
0.135,1.5,80,6.7778
0.135,1.5,90,7.0057
0.135,1.5,100,7.2322
0.135,2,60,6.8225
0.135,2,70,7.1757
0.135,2,80,7.4943
0.135,2,90,7.7848
0.135,2,100,8.0529
0.135,2,110,8.3015
0.135,2,120,8.5333
0.135,2,130,8.7519
0.135,2,140,8.9583
0.135,2,150,9.1542
0.135,3,60,7.0091
0.135,3,70,7.388
0.135,3,80,7.7338
0.135,3,90,8.0544
0.135,3,100,8.3537
0.135,3,110,8.6359
0.135,3,120,8.9034
0.135,3,130,9.1586
0.135,3,140,9.4027
0.135,3,150,9.6381
0.135,6,60,7.1108
0.135,6,70,7.4967
0.135,6,80,7.8502
0.135,6,90,8.178
0.135,6,100,8.4849
0.135,6,110,8.7739
0.135,6,120,9.0495
0.135,6,130,9.3119
0.135,6,140,9.5648
0.135,6,150,9.8079
0.14,1,60,5.561
0.14,1,70,5.8816
0.14,1,80,6.1834
0.14,1,90,6.4714
0.14,1,100,6.7494
0.14,1.5,60,6.2243
0.14,1.5,70,6.4824
0.14,1.5,80,6.7212
0.14,1.5,90,6.9554
0.14,1.5,100,7.192
0.14,2,60,6.7972
0.14,2,70,7.1473
0.14,2,80,7.4625
0.14,2,90,7.7499
0.14,2,100,8.0139
0.14,3,60,6.9991
0.14,3,70,7.3774
0.14,3,80,7.7235
0.14,3,90,8.0435
0.14,3,100,8.3428
0.14,6,60,7.1085
0.14,6,70,7.4951
0.14,6,80,7.8486
0.14,6,90,8.176
0.14,6,100,8.4827
0.14,6,110,8.7731
0.14,6,120,9.0488
0.14,6,130,9.3118
0.14,6,140,9.5647
0.14,6,150,9.8087
0.145,1,60,5.5214
0.145,1,70,5.8416
0.145,1,80,6.1435
0.145,1,90,6.4318
0.145,1,100,6.7103
0.145,1.5,60,6.17
0.145,1.5,70,6.4264
0.145,1.5,80,6.6692
0.145,1.5,90,6.9102
0.145,1.5,100,7.1533
0.145,3,60,6.9886
0.145,3,70,7.3668
0.145,3,80,7.7118
0.145,3,90,8.0308
0.145,3,100,8.329
0.145,6,60,7.1059
0.145,6,70,7.4918
0.145,6,80,7.845
0.145,6,90,8.1726
0.145,6,100,8.4795
0.145,6,110,8.7692
0.145,6,120,9.0446
0.145,6,130,9.3072
0.145,6,140,9.5596
0.145,6,150,9.803
0.15,1,60,5.4824
0.15,1,70,5.8035
0.15,1,80,6.1078
0.15,1,90,6.4002
0.15,1,100,6.6845
0.15,1.5,60,6.1184
0.15,1.5,70,6.3756
0.15,1.5,80,6.6237
0.15,1.5,90,6.8726
0.15,1.5,100,7.1233
